#t0, tauf1, tauf2, tauf3, tab1, tab2, tab3, R
62.43,4.16,4.71,2.54,3.66,3.50,1.5,2.064
23.75,3.63,1.50,2.15,2.68,1.41,2.47,2.046
10.80,3.10,5.33,7.74,2.26,2.72,5.23,2.040
15.75,3.18,4.02,7.72,3.25,3.63,4.08,2.029
16.24,6.06,6.06,6.06,10.05,10.05,10.05,2.029
20.14,16.79,16.79,16.79,5.73,5.73,5.73,2.007
50.90,3.16,4.17,4.17,3.35,3.35,3.35,2.007
47.75,2.34,3.21,3.28,2.60,2.09,2.56,1.968
19.10,7.52,4.85,4.89,4.47,3.34,3.42,1.950
13.64,9.37,9.37,9.37,2.88,2.88,2.88,1.950
18.3,2.52,4.4,3.54,3.29,2.95,2.14,1.931
11.72,12.72,15.07,13.69,3.9,3.58,3.77,1.931
22.01,7.47,6.43,6.31,4.33,4.55,4.77,1.931
19.09,3.77,4.03,3.81,2.8,2.25,2.73,1.931
7.84,5.55,5.55,5.55,4.45,4.45,4.45,1.911
16.11,11.69,19.62,24.73,5.75,6.58,9.1,1.904
10.85,3.92,4.12,4.24,2.44,2.53, 2.26,1.900
13.74,2.99,3.23,3.41,1.98,2.2,2.33,1898
18.85,13.93,9.62,10.13,5.20,5.1,5.09,1.874